date,description,amount_npr,category,persona,household,group_type,festival
2023-10-01,Buff momo Jhamsikhel Saturday,100,food,family,family_2,family,
2023-10-01,Cafe bill Baneshwor Saturday,700,food,family,family_2,family,
2023-10-01,Medicine from phrmacy for Sujan,1620,other,family,family_2,family,
2023-10-01,Cab to airport with luggage - with Bikash,1100,transport,student_home,student_home_2,college,
2023-10-01,BUS TICKET AND KHAJA ON THE WAY,590,transport,student_home,student_home_3,college,
2023-10-01,Petrol morning,1310,transport,trip_group,trip_group_1,trip,
2023-10-01,hometay sauraha,2150,hotel,trip_group,trip_group_2,trip,
2023-10-01,Bus to college,45,transport,trip_group,trip_group_3,trip,
2023-10-01,Petrol - Ring Road,1690,transport,working_bachelor,working_bachelor_2,roommates,
2023-10-02,Winter blanket - for Hari,6950,shopping,family,family_3,family,
2023-10-02,Samosa chiya Chabahil evening,210,food,family,family_3,family,
2023-10-02,Tuition fee monthly,4850,education,student_home,student_home_1,college,
2023-10-02,Tuition fee monthly - 6th sem,5650,education,student_home,student_home_2,college,
2023-10-02,Medicine from pharmacy,2350,other,student_home,student_home_2,college,
2023-10-02,Trip contribution emergency,4850,other,student_home,student_home_2,college,
2023-10-02,Night bus tickets to college,4950,transport,student_hostel,student_hostel_1,roommates,
2023-10-02,Dashain kurta shopping with cashback,2100,shopping,trip_group,trip_group_3,trip,
2023-10-02,Momo at Nanglo,140,food,working_bachelor,working_bachelor_1,roommates,
2023-10-03,Wifi bill paid by Khalti,980,utilities,family,family_3,family,
2023-10-03,Chiya for everyone,95,food,student_home,student_home_1,college,
2023-10-03,pool nd snooker - for 7 people,880,entertainment,student_home,student_home_1,college,
2023-10-03,bike repair puncture - one way,660,transport,student_home,student_home_2,college,
2023-10-03,Tourist bus Kathmandu to Pokhara,1650,transport,student_home,student_home_3,college,
2023-10-03,Deluxe bus ticet to Nagarkot,1540,transport,student_hostel,student_hostel_3,roommates,
2023-10-03,Birthday cake,2300,food,trip_group,trip_group_1,trip,
2023-10-04,Canteen lunch atcollege with Bikash,310,food,family,family_1,family,
2023-10-04,Gas cylinder,1770,utilities,family,family_1,family,
2023-10-04,Chicken momo plate - takeaway,270,food,family,family_3,family,
2023-10-04,Sekuwa and chiua,830,food,student_home,student_home_1,college,
2023-10-04,Breakfast,470,food,student_home,student_home_1,college,
2023-10-04,Vegetables from Kalimati with Prakriti,1300,food,student_home,student_home_2,college,
2023-10-04,Room rent Kartik with water charge,7250,rent,student_hostel,student_hostel_2,roommates,
2023-10-04,Momo at Bajeko Sekuwa,290,food,student_hostel,student_hostel_2,roommates,
2023-10-04,night bus tickets one way,2450,transport,trip_group,trip_group_1,trip,
2023-10-04,FLAT RENT BALKHU,11600,rent,working_bachelor,working_bachelor_1,roommates,
2023-10-04,flat rent kalanki,11600,rent,working_bachelor,working_bachelor_3,roommates,
2023-10-04,Hotel bill with breakfast,8900,hotel,working_bachelor,working_bachelor_3,roommates,
2023-10-04,Dashain kurta shopping EMI,15650,shopping,working_bachelor,working_bachelor_3,roommates,
2023-10-05,Samosa chiya Lagankhel - office lunch,55,food,family,family_2,family,
2023-10-05,daraz order,4100,shopping,student_hostel,student_hostel_1,roommates,
2023-10-05,Milk and eggs team khaja,460,food,student_hostel,student_hostel_3,roommates,
2023-10-05,Lakeside hotel booking,6100,hotel,trip_group,trip_group_1,trip,
2023-10-05,Flat rent Thamel - shared 2 ways,16550,rent,working_bachelor,working_bachelor_2,roommates,
2023-10-05,Chowmein and coke akeaway,190,food,working_bachelor,working_bachelor_2,roommates,
2023-10-06,Vegetables from Kalimati,1610,food,family,family_3,family,
2023-10-06,Chiya for everyone,160,food,student_home,student_home_1,college,
2023-10-06,Stationery and printing,850,shopping,student_home,student_home_2,college,
2023-10-06,Night bus tickets,4400,transport,student_hostel,student_hostel_1,roommates,
2023-10-06,Khaja,130,food,student_hostel,student_hostel_2,roommates,
2023-10-06,Lakeside hotel booking,5500,hotel,trip_group,trip_group_2,trip,
2023-10-06,Homestay Pokhara weekend rate,1400,hotel,trip_group,trip_group_3,trip,
2023-10-06,Monthly bill paid - rgent,4750,other,working_bachelor,working_bachelor_1,roommates,
2023-10-06,Chiya for everyone,60,food,working_bachelor,working_bachelor_1,roommates,
2023-10-06,Chicken 1 kg half plate,510,food,working_bachelor,working_bachelor_2,roommates,
2023-10-06,Fruits for Dashain tika - sale price,2750,shopping,working_bachelor,working_bachelor_2,roommates,
2023-10-07,Khanepani bill Kartik,400,utilities,family,family_1,family,
