key,festival,start_date,end_date,peak_date,scale,celebrated_by,national_weight,source
indra_jatra,Indra Jatra,2023-09-28,2023-09-30,2023-09-28,minor,newar,0.0,https://www.officeholidays.com/countries/nepal/2023
dashain,Dashain,2023-10-15,2023-10-28,2023-10-24,major,all,1.0,"https://www.officeholidays.com/countries/nepal/2023 (Phulpati 21 Oct, Tika 24 Oct)"
tihar,Tihar,2023-11-10,2023-11-15,2023-11-12,major,all,0.7,https://www.timeanddate.com/holidays/nepal/laxmi-pujan-tihar
chhath,Chhath,2023-11-16,2023-11-19,2023-11-19,medium,madhesi,0.0,https://www.officeholidays.com/countries/nepal/2023
wedding_mangsir,Wedding season (Mangsir),2023-11-16,2023-12-15,2023-12-01,medium,all,0.12,https://english.onlinekhabar.com/another-wedding-season-in-nepal-why-too-few-dates-for-too-many-couples-every-year.html
christmas,Christmas,2023-12-22,2023-12-25,2023-12-25,minor,"christian,youth",0.04,https://www.officeholidays.com/countries/nepal/2023
yomari,Yomari Punhi,2023-12-26,2023-12-26,2023-12-26,minor,newar,0.0,https://www.officeholidays.com/countries/nepal/2023
tamu_lhosar,Tamu Lhosar,2023-12-28,2023-12-31,2023-12-31,medium,gurung,0.0,https://www.officeholidays.com/countries/nepal/2023
new_years_eve,New Year's Eve,2023-12-31,2023-12-31,2023-12-31,minor,youth,0.04,Fixed date
maghe_sankranti,Maghe Sankranti / Maghi,2024-01-14,2024-01-15,2024-01-15,medium,all,0.1,https://www.officeholidays.com/countries/nepal/2024
wedding_magh,Wedding season (Magh-Falgun),2024-01-15,2024-03-13,2024-02-10,minor,all,0.08,https://english.onlinekhabar.com/another-wedding-season-in-nepal-why-too-few-dates-for-too-many-couples-every-year.html
sonam_lhosar,Sonam Lhosar,2024-02-07,2024-02-10,2024-02-10,medium,tamang,0.0,https://www.officeholidays.com/countries/nepal/2024
shree_panchami,Shree Panchami (Saraswati Puja),2024-02-14,2024-02-14,2024-02-14,minor,students,0.0,https://www.spotlightnepal.com/2024/02/14/basanta-shree-panchami-and-saraswati-puja-2024-importance-and-significant/ ; https://english.nepalpress.com/2025/02/03/saraswati-puja-being-observed-today-with-photos-2/ ; https://en.wikipedia.org/wiki/Vasant_Panchami
valentines,Valentine's Day,2024-02-14,2024-02-14,2024-02-14,minor,youth,0.02,Fixed date
shivaratri,Maha Shivaratri,2024-03-08,2024-03-08,2024-03-08,minor,hindu,0.05,https://www.officeholidays.com/countries/nepal/2024
gyalpo_lhosar,Gyalpo Lhosar,2024-03-08,2024-03-11,2024-03-11,medium,sherpa,0.0,https://www.officeholidays.com/countries/nepal/2024
holi,Holi (Fagu Purnima),2024-03-22,2024-03-25,2024-03-24,medium,all,0.15,https://www.officeholidays.com/countries/nepal/2024
eid_fitr,Eid al-Fitr,2024-04-07,2024-04-11,2024-04-11,medium,muslim,0.0,https://www.officeholidays.com/countries/nepal/2024
new_year,Nepali New Year,2024-04-12,2024-04-14,2024-04-13,medium,all,0.2,https://www.officeholidays.com/countries/nepal/2024
wedding_baisakh,Wedding season (Baisakh-Asar),2024-04-14,2024-07-15,2024-05-15,minor,all,0.08,https://english.onlinekhabar.com/another-wedding-season-in-nepal-why-too-few-dates-for-too-many-couples-every-year.html
mothers_day,Mata Tirtha Aunsi (Mother's Day),2024-05-08,2024-05-08,2024-05-08,minor,all,0.06,https://www.spotlightnepal.com/2024/05/08/mata-tirtha-aunsi-2024-mothers-day-of-nepal-and-its-impotence/ ; https://radionepalonline.com/en/2025/04/27/406789.html ; https://indexadventure.com/blog/mother-s-day-in-nepal
buddha_jayanti,Buddha Jayanti,2024-05-23,2024-05-23,2024-05-23,minor,buddhist,0.03,https://www.officeholidays.com/countries/nepal/2024
eid_adha,Eid al-Adha,2024-06-16,2024-06-17,2024-06-17,medium,muslim,0.0,https://www.officeholidays.com/countries/nepal/2024
janai_purnima,Janai Purnima / Raksha Bandhan,2024-08-18,2024-08-19,2024-08-19,minor,hindu,0.08,https://calendarific.com/holiday/nepal/janai-purnima
gai_jatra,Gai Jatra,2024-08-20,2024-08-20,2024-08-20,minor,newar,0.0,https://www.officeholidays.com/countries/nepal/2024
janmashtami,Krishna Janmashtami,2024-08-25,2024-08-26,2024-08-26,minor,hindu,0.06,https://publicholidays.asia/nepal/shree-krishna-janmashtami/
teej,Haritalika Teej,2024-08-30,2024-09-06,2024-09-06,medium,hindu,0.25,https://www.officeholidays.com/countries/nepal/2024
fathers_day,Kushe Aunsi (Father's Day),2024-09-02,2024-09-02,2024-09-02,minor,all,0.06,https://indexadventure.com/blog/fathers-day-in-nepal
indra_jatra,Indra Jatra,2024-09-17,2024-09-19,2024-09-17,minor,newar,0.0,https://www.officeholidays.com/countries/nepal/2024
dashain,Dashain,2024-10-03,2024-10-17,2024-10-12,major,all,1.0,https://kathmandupost.com/national/2024/10/12/vijaya-dashami-festival-celebration-today
tihar,Tihar,2024-10-30,2024-11-03,2024-11-01,major,all,0.7,https://www.timeanddate.com/holidays/nepal/laxmi-pujan-tihar
chhath,Chhath,2024-11-04,2024-11-07,2024-11-07,medium,madhesi,0.0,https://www.officeholidays.com/countries/nepal/2024
wedding_mangsir,Wedding season (Mangsir),2024-11-16,2024-12-15,2024-12-01,medium,all,0.12,https://english.onlinekhabar.com/another-wedding-season-in-nepal-why-too-few-dates-for-too-many-couples-every-year.html
yomari,Yomari Punhi,2024-12-15,2024-12-15,2024-12-15,minor,newar,0.0,https://www.officeholidays.com/countries/nepal/2024
christmas,Christmas,2024-12-22,2024-12-25,2024-12-25,minor,"christian,youth",0.04,https://www.officeholidays.com/countries/nepal/2024
tamu_lhosar,Tamu Lhosar,2024-12-27,2024-12-30,2024-12-30,medium,gurung,0.0,https://www.officeholidays.com/countries/nepal/2024
new_years_eve,New Year's Eve,2024-12-31,2024-12-31,2024-12-31,minor,youth,0.04,Fixed date
maghe_sankranti,Maghe Sankranti / Maghi,2025-01-13,2025-01-14,2025-01-14,medium,all,0.1,https://www.officeholidays.com/countries/nepal/2025
wedding_magh,Wedding season (Magh-Falgun),2025-01-15,2025-03-13,2025-02-10,minor,all,0.08,https://english.onlinekhabar.com/another-wedding-season-in-nepal-why-too-few-dates-for-too-many-couples-every-year.html
sonam_lhosar,Sonam Lhosar,2025-01-27,2025-01-30,2025-01-30,medium,tamang,0.0,https://www.officeholidays.com/countries/nepal/2025
shree_panchami,Shree Panchami (Saraswati Puja),2025-02-03,2025-02-03,2025-02-03,minor,students,0.0,https://www.spotlightnepal.com/2024/02/14/basanta-shree-panchami-and-saraswati-puja-2024-importance-and-significant/ ; https://english.nepalpress.com/2025/02/03/saraswati-puja-being-observed-today-with-photos-2/ ; https://en.wikipedia.org/wiki/Vasant_Panchami
valentines,Valentine's Day,2025-02-14,2025-02-14,2025-02-14,minor,youth,0.02,Fixed date
