household,group_type,month,total_npr,expense_count,festival_intensity,festival_npr,food_npr,transport_npr
family_1,family,2023-10,97070,35,1.0,44310,13350,4550
family_1,family,2023-11,93320,41,0.76,20550,21270,9460
family_1,family,2023-12,89200,28,0.14,5270,8370,4170
family_1,family,2024-01,129710,36,0.1231,20610,16700,2105
family_1,family,2024-02,96110,28,0.0593,7150,19330,1490
family_1,family,2024-03,98060,35,0.2176,8810,10740,2420
family_1,family,2024-04,75655,29,0.2146,12500,3990,2880
family_1,family,2024-05,81425,32,0.1167,6280,13830,2335
family_1,family,2024-06,107085,27,0.0258,0,8815,370
family_1,family,2024-07,72040,26,0.0129,0,21195,3005
family_1,family,2024-08,74220,35,0.2025,5680,12060,2070
family_1,family,2024-09,182140,30,0.2475,8490,17430,2360
family_1,family,2024-10,180870,49,1.28,112430,62530,12410
family_1,family,2024-11,95780,37,0.48,39570,9500,1590
family_1,family,2024-12,74685,28,0.14,6500,7810,4465
family_1,family,2025-01,101875,34,0.1234,27490,13085,6630
family_1,family,2025-02,93735,30,0.1086,15380,8050,1145
family_1,family,2025-03,88310,31,0.1679,2540,6540,4430
family_1,family,2025-04,94945,28,0.2746,5170,3225,2500
family_1,family,2025-05,58760,27,0.0567,6100,6420,3740
family_1,family,2025-06,69325,26,0.0258,0,6465,920
family_1,family,2025-07,108830,27,0.0129,0,36580,0
family_1,family,2025-08,126670,43,0.45,31550,16670,1190
family_1,family,2025-09,113190,34,0.6,37690,29010,8130
family_1,family,2025-10,138425,38,1.1,70330,31605,2340
family_1,family,2025-11,98370,33,0.06,22650,16165,4060
family_1,family,2025-12,83020,30,0.14,12680,7960,12290
family_1,family,2026-01,112245,33,0.1234,28210,9380,720
family_1,family,2026-02,78335,33,0.1461,18320,11725,7290
family_1,family,2026-03,74540,29,0.1304,3620,11120,2460
family_1,family,2026-04,75540,33,0.2746,10430,7660,4850
family_1,family,2026-05,174450,27,0.0567,0,5820,0
family_1,family,2026-06,77725,23,0.0258,0,15225,2155
family_1,family,2026-07,73480,25,0.0129,0,5980,7500
family_1,family,2026-08,60070,25,0.08,650,4740,2380
family_1,family,2026-09,87990,38,0.37,21710,13290,2580
family_2,family,2023-10,97275,37,1.0,41300,36355,5650
family_2,family,2023-11,109600,42,0.76,23310,8480,3710
family_2,family,2023-12,92100,34,0.14,6670,12750,8030
family_2,family,2024-01,89350,38,0.1231,16600,11750,5060
family_2,family,2024-02,64560,29,0.0593,3500,2630,3710
family_2,family,2024-03,95330,40,0.2176,8780,16220,2750
family_2,family,2024-04,112435,34,0.2146,12300,16535,3700
family_2,family,2024-05,92155,38,0.1167,7460,10055,8410
family_2,family,2024-06,118170,29,0.0258,0,8800,650
family_2,family,2024-07,70845,34,0.0129,1810,7430,4605
