item,category,unit,price_low_npr,price_high_npr,region,as_of,source_name,source_url
Petrol (MS),transport,litre,200,200,"Kathmandu depot band 1",2026-09-24,Nepal Oil Corporation retail price (via Artha Kendra),https://arthakendra.com/fuel-price-in-nepal
Diesel (HSD),transport,litre,200,200,"Kathmandu depot band 1",2026-09-24,Nepal Oil Corporation retail price (via Artha Kendra),https://arthakendra.com/fuel-price-in-nepal
LPG cylinder (14.2 kg domestic),utilities,cylinder,2050,2060,Nepal,2026-09-24,Nepal Oil Corporation / PriceNepal,https://www.pricenepal.com/lpg-gas-price-nepal/
LPG cylinder (5 kg),utilities,cylinder,700,700,Nepal,2026-04-01,PriceNepal,https://www.pricenepal.com/lpg-gas-price-nepal/
NEA electricity 51-150 units slab,utilities,unit,11,11,Nepal,2026-05-06,NEA domestic tariff FY 2082/83 (via PriceNepal),https://www.pricenepal.com/electricity-unit-price-nepal-nea-tariff-2026/
NEA electricity 151-250 units slab,utilities,unit,12,12,Nepal,2026-05-06,NEA domestic tariff FY 2082/83 (via PriceNepal),https://www.pricenepal.com/electricity-unit-price-nepal-nea-tariff-2026/
NEA electricity 251+ units slab,utilities,unit,13,13,Nepal,2026-05-06,NEA domestic tariff FY 2082/83 (via PriceNepal),https://www.pricenepal.com/electricity-unit-price-nepal-nea-tariff-2026/
NEA monthly service charge,utilities,month,30,50,Nepal,2026-05-06,NEA domestic tariff FY 2082/83 (via PriceNepal),https://www.pricenepal.com/electricity-unit-price-nepal-nea-tariff-2026/
NTC data pack 1 GB,utilities,pack,29,29,Nepal,2026-05-01,PriceNepal NTC vs Ncell comparison,https://www.pricenepal.com/ntc-ncell-data-pack-price-nepal-2026/
NTC data pack 5 GB / 7 days,utilities,pack,109,109,Nepal,2026-05-01,PriceNepal NTC vs Ncell comparison,https://www.pricenepal.com/ntc-ncell-data-pack-price-nepal-2026/
NTC data pack 20 GB / 30 days,utilities,pack,399,399,Nepal,2026-05-01,PriceNepal NTC vs Ncell comparison,https://www.pricenepal.com/ntc-ncell-data-pack-price-nepal-2026/
Ncell Unlimited Combo (28 days),utilities,pack,199,699,Nepal,2026-05-01,PriceNepal NTC vs Ncell comparison,https://www.pricenepal.com/ntc-ncell-data-pack-price-nepal-2026/
